(180,39)
(180,9)
(180,107)
(180,108)
(180,78)
(180,112)
(180,81)
(180,22)
(180,86)
(180,55)
(180,24)
(180,91)
(180,157)
(180,62)
(180,30)
(181,0)
(181,2)
(181,67)
(181,37)
(181,6)
(181,71)
(181,8)
(181,75)
(181,45)
(181,109)
(181,49)
(181,20)
(181,84)
(181,55)
(181,23)
(181,59)
(181,92)
(181,31)
(182,162)
(182,40)
(182,10)
(182,43)
(182,44)
(182,13)
(182,144)
(182,48)
(182,81)
(182,50)
(182,83)
(182,84)
(182,116)
(182,20)
(182,117)
(182,21)
(182,87)
(182,24)
(182,88)
(182,95)
(183,161)
(183,66)
(183,131)
(183,132)
(183,4)
(183,5)
(183,102)
(183,7)
(183,142)
(183,17)
(183,113)
(183,116)
(183,56)
(183,26)
(183,29)
(183,61)
(183,30)
(183,31)
(184,34)
(184,35)
(184,3)
(184,70)
(184,71)
(184,8)
(184,138)
(184,46)
(184,17)
(184,20)
(184,84)
(184,118)
(184,182)
(184,152)
(184,26)
(184,91)
(184,27)
(184,59)
(184,30)
(184,63)
(185,34)
(185,2)
(185,132)
(185,69)
(185,73)
(185,10)
(185,170)
(185,75)
(185,18)
(185,146)
(185,149)
(185,86)
(185,118)
(185,152)
(185,29)
(185,93)
(185,62)
(185,94)
(185,95)
(185,63)
(186,34)
(186,36)
(186,69)
(186,102)
(186,73)
(186,10)
(186,42)
(186,106)
(186,74)
(186,44)
(186,13)
(186,50)
(186,179)
(186,182)
(186,119)
(186,154)
(186,27)
(186,30)
(186,95)
(187,32)
(187,66)
(187,36)
(187,68)
(187,41)
(187,43)
(187,13)
(187,20)
(187,54)
(187,24)
(187,153)
(187,57)
(187,26)
(187,91)
(187,125)
(187,157)
(187,61)
(187,126)
(188,64)
(188,4)
(188,36)
(188,38)
(188,70)
(188,39)
(188,71)
(188,7)
(188,42)
(188,11)
(188,118)
(188,54)
(188,87)
(188,56)
(188,58)
(188,186)
(188,187)
(188,124)
(188,62)
(189,64)
(189,131)
(189,35)
(189,71)
(189,40)
(189,10)
(189,108)
(189,173)
(189,13)
(189,142)
(189,112)
(189,177)
(189,180)
(189,23)
(189,24)
(189,122)
(189,27)
(189,60)
(189,31)
(190,32)
(190,130)
(190,37)
(190,38)
(190,6)
(190,40)
(190,11)
(190,44)
(190,141)
(190,79)
(190,177)
(190,147)
(190,183)
(190,184)
(190,187)
(190,91)
(191,64)
(191,34)
(191,4)
(191,6)
(191,38)
(191,71)
(191,40)
(191,105)
(191,9)
(191,13)
(191,48)
(191,81)
(191,180)
(191,84)
(191,85)
(191,55)
(191,25)
(191,186)
(191,27)
(192,0)
(192,67)
(192,132)
(192,102)
(192,70)
(192,135)
(192,73)
(192,138)
(192,10)
(192,43)
(192,12)
(192,173)
(192,113)
(192,22)
(192,86)
(192,153)
(192,90)
(192,26)
(192,61)
(192,30)
(193,0)
(193,192)
(193,35)
(193,132)
(193,166)
(193,134)
(193,105)
(193,138)
(193,74)
(193,43)
(193,12)
(193,45)
(193,15)
(193,80)
(193,146)
(193,20)
(193,23)
(193,89)
(193,156)
(194,128)
(194,1)
(194,162)
(194,34)
(194,41)
(194,170)
(194,107)
(194,171)
(194,112)
(194,81)
(194,49)
(194,145)
(194,113)
(194,146)
(194,51)
(194,148)
(194,55)
(194,119)
(194,88)
(194,154)
(195,65)
(195,2)
(195,66)
(195,194)
(195,39)
(195,104)
(195,170)
(195,11)
(195,75)
(195,14)
(195,175)
(195,48)
(195,82)
(195,148)
(195,183)
(195,24)
(195,120)
(195,25)
(195,126)
(195,63)
(196,1)
(196,162)
(196,4)
(196,165)
(196,134)
(196,135)
(196,137)
(196,73)
(196,74)
(196,108)
(196,109)
(196,117)
(196,181)
(196,149)
(196,22)
(196,151)
(196,184)
(196,24)
(196,123)
(197,1)
(197,134)
(197,7)
(197,9)
(197,105)
(197,12)
(197,110)
(197,79)
(197,16)
(197,144)
(197,51)
(197,20)
(197,22)
(197,182)
(197,23)
(197,55)
(197,57)
(197,90)
(197,58)
(198,33)
(198,66)
(198,67)
(198,6)
(198,70)
(198,76)
(198,109)
(198,47)
(198,177)
(198,51)
(198,20)
(198,53)
(198,181)
(198,54)
